Oliver Connell & Son Limited,,, -   ,,,rev O,OH&P,NETT ALLOWANCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Client,,, -   ,,,20 May 22,,TOTAL,LABOUR,,,,,,PLANT,,,,,MATERIALS,,,,S/C,,Prelims,,TOTAL,LABOUR,,,,,,PLANT,,,,,MATERIALS,,,,S/C,,PRELIMS,
Site,,, -   ,,,ref xxxx,,,Conc lab,Gdwkr,Carp,S/fixer,Other,Plant Op,Plant,Fuel,Fwk,Ply/Tim,Temp mat,Concrete,Rebar,Fill,Other,C/A,Other,Supervision,Other,,Conc lab,Gdwkr,Carp,S/fixer,Other,Plant Op,Plant,Fuel,Fwk,Ply/Tim,Temp mat,Concrete,Rebar,Fill,Other,C/A,Other,Staff,Other
,,, Quant ,Unit,Rate,Total,18.0%,,22.61,24.44,26.28,25.97,31.78,26.89,14.44,,,41.50,,,"1,170.00",,,300.00,,,,,,,,,,,,,,,,,,,,,,,
Groundworks,,, -   ,,,,,,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,,,,,,1.0000,1.0000,1.0000,,,,,,man weeks,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,
,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schedule of Works,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Preambles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Concrete to pile,,,m,13.41,,2.05,11.37,0.92,,,,,,0.04,,,,,10.41,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Reinforcement (250kg/m3),,,m,40.25,,6.14,34.11,,,,8.26,,,,,,,,,25.85,,,,,,,,,,,,,,,,,,,,,,,,,,
112,De-bonding reinforcement,,,nr,6.01,,0.92,5.10,,,,2.60,,,,,,,,,,,2.50,,,,,,,,,,,,,,,,,,,,,,,,
113,"Attendance; exc + operator, dumper + driver",,,wk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Attendance; dispose of pile arisigs,,,m3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Attendance; pile probing,,,nr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Integrity testing,,,nr,177.00,,27.00,150.00,,,,,,,,,,,,,,,,,150.00,,,,,,,,,,,,,,,,,,,,,,
117,Load testing,,,nr,"3,904.32",,595.57,"3,308.75",55.15,112.44,,281.41,,123.69,206.88,204.44,,,,624.38,620.35,,80.00,,"1,000.00",,,,,,,,,,,,,,,,,,,,,,
118,300dia pile; MBL Piling; 15m lg,,,nr,716.48,,109.29,607.19,13.79,28.11,,70.35,,30.92,61.72,61.11,,,,156.09,155.09,,20.00,,10.00,,,,,,,,,,,,,,,,,,,,,,
119,"300mm dia CFA pile; 12m lg (bore, conc, rebar, test, de-bond, move rig, mod & demob, design)",,,nr,487.32,,74.34,412.99,,,,,,,,,,,,,,,,,412.99,,,,,,,,,,,,,,,,,,,,,,
120,"300mm dia CFA pile; 15m lg (bore, conc, rebar, test, de-bond, move rig, mod & demob, design)",,,nr,564.90,,86.17,478.73,,,,,,,,,,,,,,,,,478.73,,,,,,,,,,,,,,,,,,,,,,
121,"450mm dia CFA pile; 15m lg (bore, conc, rebar, test, de-bond, move rig, mod & demob, design)",,,nr,912.33,,139.17,773.16,,,,,,,,,,,,,,,,,773.16,,,,,,,,,,,,,,,,,,,,,,
122,"450mm dia CFA pile; 18m lg (bore, conc, rebar, test, de-bond, move rig, mod & demob, design)",,,nr,"1,071.19",,163.40,907.79,,,,,,,,,,,,,,,,,907.79,,,,,,,,,,,,,,,,,,,,,,
123,"600mm dia CFA pile; 10m lg (bore, conc, rebar, test, de-bond, move rig, mod & demob, design)",,,nr,"1,512.94",,230.79,"1,282.15",,,,,,,,,,,,,,,,,"1,282.15",,,,,,,,,,,,,,,,,,,,,,
124,"600mm dia CFA pile; 18m lg (bore, conc, rebar, test, de-bond, move rig, mod & demob, design)",,,nr,"1,680.69",,256.38,"1,424.31",,,,,,,,,,,,,,,,,"1,424.31",,,,,,,,,,,,,,,,,,,,,,
125,"600mm dia CFA pile; 35m lg (bore, conc, rebar, test, de-bond, move rig, mod & demob, design)",,,nr,"3,854.74",,588.01,"3,266.73",,,,,,,,,,,,,,,,,"3,266.73",,,,,,,,,,,,,,,,,,,,,,
126,"750mm dia CFA pile; 18m lg (bore, conc, rebar, test, de-bond, move rig, mod & demob, design)",,,nr,"2,660.91",,405.90,"2,255.01",,,,,,,,,,,,,,,,,"2,255.01",,,,,,,,,,,,,,,,,,,,,,
127,"750mm dia CFA pile; 20m lg (bore, conc, rebar, test, de-bond, move rig, mod & demob, design)",,,nr,"2,950.01",,450.00,"2,500.01",,,,,,,,,,,,,,,,,"2,500.01",,,,,,,,,,,,,,,,,,,,,,
128,"750mm dia CFA pile; 25m lg (bore, conc, rebar, test, de-bond, move rig, mod & demob, design)",,,nr,"3,672.76",,560.25,"3,112.51",,,,,,,,,,,,,,,,,"3,112.51",,,,,,,,,,,,,,,,,,,,,,
129,"900mm dia CFA pile; 25m lg (bore, conc, rebar, test, de-bond, move rig, mod & demob, design)",,,nr,"6,152.13",,938.46,"5,213.67",,,,,,,,,,,,,,,,,"5,213.67",,,,,,,,,,,,,,,,,,,,,,
130,"900mm dia CFA pile; 35m lg (bore, conc, rebar, test, de-bond, move rig, mod & demob, design)",,,nr,"8,584.66",,"1,309.52","7,275.13",,,,,,,,,,,,,,,,,"7,275.13",,,,,,,,,,,,,,,,,,,,,,
131,"1500mm dia CFA pile; 25m lg (bore, conc, rebar, test, de-bond, move rig, mod & demob, design)",,,nr,"14,136.14",,"2,156.36","11,979.78",,,,,,,,,,,,,,,,,"11,979.78",,,,,,,,,,,,,,,,,,,,,,
132,"2000mm dia CFA pile; 25m lg (bore, conc, rebar, test, de-bond, move rig, mod & demob, design)",,,nr,"25,085.03",,"3,826.53","21,258.50",,,,,,,,,,,,,,,,,"21,258.50",,,,,,,,,,,,,,,,,,,,,,
133,"900mm dia auger pile; empty bore and granular fill (bore, fill, move rig, mod & demob, design)",,,nr,98.14,,14.97,83.17,,,,,,,,,,,,,,,,,83.17,,,,,,,,,,,,,,,,,,,,,,
134,"1500mm dia auger pile; empty bore and granular fill (bore, fill, move rig, mod & demob, design)",,,nr,251.63,,38.38,213.25,,,,,,,,,,,,,,,,,213.25,,,,,,,,,,,,,,,,,,,,,,
135,"2000mm dia auger pile; empty bore and granular fill (bore, fill, move rig, mod & demob, design)",,,nr,438.17,,66.84,371.33,,,,,,,,,,,,,,,,,371.33,,,,,,,,,,,,,,,,,,,,,,
136,"EO piles for supply and place steel plunge column including plumb, level & line and hold in position until conc cured; allow 305 x 305 x 198kg x 16m lg",,,nr,"7,476.48",,"1,140.48","6,336.00",,,,,,,,,,,,,,,,,"6,336.00",,,,,,,,,,,,,,,,,,,,,,
137,EO 600 dia piles for boring and filling piles with shingle,,,m,21.69,,3.31,18.38,,,,,,,,,,,,,,,,,18.38,,,,,,,,,,,,,,,,,,,,,,
138,EO 900 dia piles for boring and filling piles with shingle,,,m,48.80,,7.44,41.36,,,,,,,,,,,,,,,,,41.36,,,,,,,,,,,,,,,,,,,,,,
139,Design ,,,item,"2,950.00",,450.00,"2,500.00",,,,,,,,,,,,,,,,,"2,500.00",,,,,,,,,,,,,,,,,,,,,,
140,Mobilisation & demobilisation,,,item,"11,564.00",,"1,764.00","9,800.00",,,,,,,,,,,,,,,,,"9,800.00",,,,,,,,,,,,,,,,,,,,,,
141,Rig delays; per hour,,,hr,615.25,,93.85,521.40,,,,,,,,,,,,,,,,,521.40,,,,,,,,,,,,,,,,,,,,,,
142,Testing; static load test,,,item,"3,540.00",,540.00,"3,000.00",,,,,,,,,,,,,,,,,"3,000.00",,,,,,,,,,,,,,,,,,,,,,
143,Integrity testing,,,item,"1,180.00",,180.00,"1,000.00",,,,,,,,,,,,,,,,,"1,000.00",,,,,,,,,,,,,,,,,,,,,,
144,Piles for crane base,,,nr,"1,770.00",,270.00,"1,500.00",,,,,,,,,,,,,,,,,"1,500.00",,,,,,,,,,,,,,,,,,,,,,
145,EO for pile integrity tests,,,nr,118.00,,18.00,100.00,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,,,,
146,EO for pvc casings; 1m lg,,,nr,88.91,,13.56,75.35,,,,,,,,,,,,,,,,,75.35,,,,,,,,,,,,,,,,,,,,,,
147,Debonding pile reinforcement,,,nr,94.40,,14.40,80.00,,,,,,,,,,,,,,,,,80.00,,,,,,,,,,,,,,,,,,,,,,
148,"Design, mobilise, install steel sheet piles & de-mobilise",,,item,"288,610.30",,"44,025.30","244,585.00",,,,,,,,,,,,,,,,,"244,585.00",,,,,,,,,,,,,,,,,,,,,,
149,"600mm dia CFA pile; 18m lg (bore, conc, rebar, test, de-bond, move rig, mod & demob, design)",,,nr,"1,680.69",,256.38,"1,424.31",,,,,,,,,,,,,,,,,"1,424.31",,,,,,,,,,,,,,,,,,,,,,
,Attendance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,Piling attendance; excavator & operator,,,wk,"3,020.80",,460.80,"2,560.00",,,,,,"1,210.00",500.00,850.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Piling attendance; excavator & operator,,,day,604.16,,92.16,512.00,,,,,,242.00,100.00,170.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PILES PER DAY,,,nr,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,Piling attendance; dumper & driver,,,wk,"2,124.00",,324.00,"1,800.00",,"1,100.00",,,,,200.00,500.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,Piling attendance; dumper & driver,,,day,424.80,,64.80,360.00,,220.00,,,,,40.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,Piling attendance; crawler crane and operator,,,wk,"4,141.80",,631.80,"3,510.00",,,,,,,"1,950.00","1,560.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,Piling attendance; ride on roller,,,wk,619.50,,94.50,525.00,,,,,,,225.00,300.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,Piling attendance; banksman/traffic marshall,,,wk,"1,200.65",,183.15,"1,017.50",,,,,,"1,017.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,Piling attendance; foreman/supervisor,,,wk,"1,770.00",,270.00,"1,500.00",,,,,,"1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,Pile probing; 3m spike,,,nr,15.49,,2.36,13.12,,,,,,6.33,3.40,3.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,Pile probing; 3m trench for sheet/contiguous/secant piles,,,m,18.81,,2.87,15.94,,,,,,7.68,4.13,4.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Inert disposal rate fluctuating based on prime cost of:,,,load,£300.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,Dispose of pile arisings off site; clean inert; provisionally based on ? nr x ? dia x ? depth; loaded by excavator in attendance,,,m3,47.20,,7.20,40.00,,,,,,,,,,,,,,,,40.00,,,,,,,,,,,,,,,,,,,,,,,
161,WAC test pile spoil to assess contamination,,,nr,271.40,,41.40,230.00,,,,,,,,,,,,,,,,,230.00,,,,,,,,,,,,,,,,,,,,,,
162,EO clean inert disposal for non haz,,,m3,15.73,,2.40,13.33,,,,,,,,,,,,,,,,13.33,,,,,,,,,,,,,,,,,,,,,,,
163,Haul & deposit on site; max 100m,,,m3,4.48,,0.68,3.80,,,,,,2.69,0.56,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,"Excavate, breakup obstruction, dispose & backfill with SEM",,,m3,117.59,,17.94,99.65,,22.27,,,,24.50,17.62,17.62,,,,,,,,17.65,,,,,,,,,,,,,,,,,,,,,,,
165,Leader trench for sheet piling; 1500 x 600mm dp; on centre line of sheet piles,,,m,31.06,,4.74,26.32,,5.08,,,,5.10,2.90,2.66,,,,,,,,10.58,,,,,,,,,,,,,,,,,,,,,,,
166,Secant pile guide wall; sacrificial; 600 dia piles at 450 c/s.,,,m,325.19,,49.60,275.58,15.44,10.02,59.33,1.82,,8.98,6.48,6.48,,5.40,0.20,70.16,3.39,2.25,52.30,33.35,,,,,,,,,,,,,,,,,,,,,,,
167,Secant pile guide wall; sacrificial; 750 dia male & 600 dia female piles at 525 c/s.,,,m,391.00,,59.64,331.36,18.52,12.03,71.19,2.18,,10.77,7.78,7.78,,6.48,0.24,84.85,4.06,2.70,62.76,40.02,,,,,,,,,,,,,,,,,,,,,,,
168,"Capping beam; 900 x 750; inc exc, C/A, L&C, EWS, W/S, C40 conc, fwk, rebar 150kg/m3, trowel. Excludes breakdown piles",,,m,443.44,,67.64,375.79,20.74,7.80,43.81,30.57,,7.97,4.80,4.15,,5.20,0.20,98.68,119.34,,3.06,29.47,,,,,,,,,,,,,,,,,,,,,,,
169,Breakdown piles; 250 x 250 driven x max 500mm high; driven PC piles,,,nr,50.35,,7.68,42.67,,36.67,,,,,2.65,2.65,,,,,,,,0.71,,,,,,,,,,,,,,,,,,,,,,,
170,Breakdown piles; 300mm dia x max 500mm high; reinforcement de-bonded,,,nr,51.47,,7.85,43.62,,36.67,,,,,2.65,2.65,,,,,,,,1.65,,,,,,,,,,,,,,,,,,,,,,,
171,Breakdown piles; 350mm dia x max 500mm high; reinforcement de-bonded,,,nr,52.44,,8.00,44.44,,36.67,,,,,2.70,2.70,,,,,,,,2.37,,,,,,,,,,,,,,,,,,,,,,,
172,Breakdown piles; 350mm dia x max 2000mm high; reinforcement de-bonded,,,nr,60.84,,9.28,51.56,,36.67,,,,,2.70,2.70,,,,,,,,9.50,,,,,,,,,,,,,,,,,,,,,,,
173,Breakdown piles; 350mm dia x max 3000mm high; reinforcement de-bonded,,,nr,66.45,,10.14,56.31,,36.67,,,,,2.70,2.70,,,,,,,,14.24,,,,,,,,,,,,,,,,,,,,,,,
174,Breakdown piles; 350mm dia x max 4000mm high; reinforcement de-bonded,,,nr,72.05,,10.99,61.06,,36.67,,,,,2.70,2.70,,,,,,,,18.99,,,,,,,,,,,,,,,,,,,,,,,
,Breakdown piles; 350mm dia x max 6000mm high; reinforcement de-bonded,,,nr,83.25,,12.70,70.55,,36.67,,,,,2.70,2.70,,,,,,,,28.49,,,,,,,,,,,,,,,,,,,,,,,
172,Breakdown piles; 400mm dia x max 500mm high; reinforcement de-bonded,,,nr,57.38,,8.75,48.63,,40.33,,,,,2.85,2.85,,,,,,,,2.60,,,,,,,,,,,,,,,,,,,,,,,
173,Breakdown piles; 400mm dia x max 2000mm high; reinforcement de-bonded,,,nr,66.57,,10.15,56.42,,40.33,,,,,2.85,2.85,,,,,,,,10.38,,,,,,,,,,,,,,,,,,,,,,,
174,Breakdown piles; 450mm dia x max 500mm high; reinforcement de-bonded,,,nr,63.05,,9.62,53.43,,44.00,,,,,3.00,3.00,,,,,,,,3.43,,,,,,,,,,,,,,,,,,,,,,,
175,Breakdown piles; 450mm dia x max 1000mm high; reinforcement de-bonded,,,nr,67.10,,10.24,56.87,,44.00,,,,,3.00,3.00,,,,,,,,6.87,,,,,,,,,,,,,,,,,,,,,,,
176,Breakdown piles; 450mm dia x max 1250mm high; reinforcement de-bonded,,,nr,69.13,,10.54,58.58,,44.00,,,,,3.00,3.00,,,,,,,,8.58,,,,,,,,,,,,,,,,,,,,,,,
177,Breakdown piles; 450mm dia x max 1500mm high; reinforcement de-bonded,,,nr,71.15,,10.85,60.30,,44.00,,,,,3.00,3.00,,,,,,,,10.30,,,,,,,,,,,,,,,,,,,,,,,
178,Breakdown piles; 450mm dia x max 2000mm high; reinforcement de-bonded,,,nr,75.20,,11.47,63.73,,44.00,,,,,3.00,3.00,,,,,,,,13.73,,,,,,,,,,,,,,,,,,,,,,,
179,Breakdown piles; 450mm dia x max 2500mm high; reinforcement de-bonded,,,nr,79.25,,12.09,67.16,,44.00,,,,,3.00,3.00,,,,,,,,17.16,,,,,,,,,,,,,,,,,,,,,,,
180,Breakdown piles; 450mm dia x max 4000mm high; reinforcement de-bonded,,,nr,91.41,,13.94,77.46,,44.00,,,,,3.00,3.00,,,,,,,,27.46,,,,,,,,,,,,,,,,,,,,,,,
179,Breakdown piles; 500mm dia x max 500mm high; reinforcement de-bonded,,,nr,67.90,,10.36,57.54,,44.00,,,,2.69,3.40,3.40,,,,,,,,4.06,,,,,,,,,,,,,,,,,,,,,,,
180,Breakdown piles; 600mm dia x max 500mm high; reinforcement de-bonded,,,nr,71.00,,10.83,60.17,,47.67,,,,2.69,3.40,3.40,,,,,,,,3.01,,,,,,,,,,,,,,,,,,,,,,,
181,Breakdown piles; 600mm dia x 500mm - 1.0m high; reinforcement de-bonded,,,nr,74.56,,11.37,63.18,,47.67,,,,2.69,3.40,3.40,,,,,,,,6.03,,,,,,,,,,,,,,,,,,,,,,,
182,Breakdown piles; 600mm dia x max 1.5m high; reinforcement de-bonded,,,nr,79.56,,12.14,67.42,,48.89,,,,2.69,3.40,3.40,,,,,,,,9.04,,,,,,,,,,,,,,,,,,,,,,,
182,Breakdown piles; 600mm dia x max 1.75m high; reinforcement de-bonded,,,nr,80.43,,12.27,68.16,,42.78,,,,2.69,6.40,6.40,,,,,,,,9.89,,,,,,,,,,,,,,,,,,,,,,,
183,Breakdown piles; 600mm dia x max 2.0m high; reinforcement de-bonded,,,nr,89.30,,13.62,75.68,,48.89,,,,2.69,6.40,6.40,,,,,,,,11.30,,,,,,,,,,,,,,,,,,,,,,,
183,Breakdown piles; 600mm dia x max 2.25m high; reinforcement de-bonded,,,nr,90.97,,13.88,77.09,,48.89,,,,2.69,6.40,6.40,,,,,,,,12.72,,,,,,,,,,,,,,,,,,,,,,,
184,Breakdown piles; 600mm dia x max 2.5m high; reinforcement de-bonded,,,nr,92.64,,14.13,78.51,,48.89,,,,2.69,6.40,6.40,,,,,,,,14.13,,,,,,,,,,,,,,,,,,,,,,,
185,Breakdown piles; 600mm dia x max 3.0m high; reinforcement de-bonded,,,nr,95.97,,14.64,81.33,,48.89,,,,2.69,6.40,6.40,,,,,,,,16.96,,,,,,,,,,,,,,,,,,,,,,,
186,Breakdown piles; 600mm dia x max 3.5m high; reinforcement de-bonded,,,nr,99.31,,15.15,84.16,,48.89,,,,2.69,6.40,6.40,,,,,,,,19.78,,,,,,,,,,,,,,,,,,,,,,,
187,Breakdown piles; 600mm dia x max 4.0m high; reinforcement de-bonded,,,nr,102.64,,15.66,86.99,,48.89,,,,2.69,6.40,6.40,,,,,,,,22.61,,,,,,,,,,,,,,,,,,,,,,,
188,Breakdown piles; 600mm dia x max 4.5m high; reinforcement de-bonded,,,nr,105.98,,16.17,89.81,,48.89,,,,2.69,6.40,6.40,,,,,,,,25.43,,,,,,,,,,,,,,,,,,,,,,,
189,Breakdown piles; 600mm dia x max 5.0m high; reinforcement de-bonded,,,nr,109.31,,16.67,92.64,,48.89,,,,2.69,6.40,6.40,,,,,,,,28.26,,,,,,,,,,,,,,,,,,,,,,,
190,Breakdown piles; 600mm dia x max 5.5m high; reinforcement de-bonded,,,nr,112.65,,17.18,95.46,,48.89,,,,2.69,6.40,6.40,,,,,,,,31.09,,,,,,,,,,,,,,,,,,,,,,,
191,Breakdown piles; 600mm dia x max 6.0m high; reinforcement de-bonded,,,nr,115.98,,17.69,98.29,,48.89,,,,2.69,6.40,6.40,,,,,,,,33.91,,,,,,,,,,,,,,,,,,,,,,,
192,Breakdown piles; 600mm dia x max 6.5m high; reinforcement de-bonded,,,nr,119.32,,18.20,101.12,,48.89,,,,2.69,6.40,6.40,,,,,,,,36.74,,,,,,,,,,,,,,,,,,,,,,,
193,Breakdown piles; 600mm dia x max 8.5m high; reinforcement de-bonded,,,nr,132.66,,20.24,112.42,,48.89,,,,2.69,6.40,6.40,,,,,,,,48.04,,,,,,,,,,,,,,,,,,,,,,,
194,Breakdown piles; 750mm dia x max 500mm high; reinforcement de-bonded,,,nr,98.77,,15.07,83.70,,61.11,,,,5.38,6.40,6.40,,,,,,,,4.42,,,,,,,,,,,,,,,,,,,,,,,
195,Breakdown piles; 750mm dia x max 1.0m high; reinforcement de-bonded,,,nr,107.15,,16.35,90.81,,61.11,,,,8.07,6.40,6.40,,,,,,,,8.83,,,,,,,,,,,,,,,,,,,,,,,
196,Breakdown piles; 750mm dia x max 1.5m high; reinforcement de-bonded,,,nr,110.53,,16.86,93.67,,61.11,,,,8.07,6.40,6.40,,,,,,,,11.69,,,,,,,,,,,,,,,,,,,,,,,
197,Breakdown piles; 750mm dia x max 3.5m high; reinforcement de-bonded,,,nr,128.92,,19.67,109.25,,61.11,,,,8.07,6.40,6.40,,,,,,,,27.27,,,,,,,,,,,,,,,,,,,,,,,
198,Breakdown piles; 900mm dia x max 500mm high; reinforcement de-bonded,,,nr,121.83,,18.58,103.25,,73.33,,,,10.76,6.40,6.40,,,,,,,,6.36,,,,,,,,,,,,,,,,,,,,,,,
198,Breakdown piles; 900mm dia x max 1000mm high; reinforcement de-bonded,,,nr,129.33,,19.73,109.61,,73.33,,,,10.76,6.40,6.40,,,,,,,,12.72,,,,,,,,,,,,,,,,,,,,,,,
199,Breakdown piles; 900mm dia x max 1500mm high; reinforcement de-bonded,,,nr,136.84,,20.87,115.96,,73.33,,,,10.76,6.40,6.40,,,,,,,,19.08,,,,,,,,,,,,,,,,,,,,,,,
200,Breakdown piles; 900mm dia x max 2000mm high; reinforcement de-bonded,,,nr,144.34,,22.02,122.32,,73.33,,,,10.76,6.40,6.40,,,,,,,,25.43,,,,,,,,,,,,,,,,,,,,,,,
201,Breakdown piles; 900mm dia x max 22500mm high; reinforcement de-bonded,,,nr,148.09,,22.59,125.50,,73.33,,,,10.76,6.40,6.40,,,,,,,,28.61,,,,,,,,,,,,,,,,,,,,,,,
202,Breakdown piles; 900mm dia x max 2500mm high; reinforcement de-bonded,,,nr,151.84,,23.16,128.68,,73.33,,,,10.76,6.40,6.40,,,,,,,,31.79,,,,,,,,,,,,,,,,,,,,,,,
203,Breakdown piles; 900mm dia x max 3000mm high; reinforcement de-bonded,,,nr,159.35,,24.31,135.04,,73.33,,,,10.76,6.40,6.40,,,,,,,,38.15,,,,,,,,,,,,,,,,,,,,,,,
204,Breakdown piles; 900mm dia x max 3500mm high; reinforcement de-bonded,,,nr,166.85,,25.45,141.40,,73.33,,,,10.76,6.40,6.40,,,,,,,,44.51,,,,,,,,,,,,,,,,,,,,,,,
205,Breakdown piles; 900mm dia x max 4000mm high; reinforcement de-bonded,,,nr,174.35,,26.60,147.76,,73.33,,,,10.76,6.40,6.40,,,,,,,,50.87,,,,,,,,,,,,,,,,,,,,,,,
206,Breakdown piles; 900mm dia x max 5500mm high; reinforcement de-bonded,,,nr,196.86,,30.03,166.83,,73.33,,,,10.76,6.40,6.40,,,,,,,,69.94,,,,,,,,,,,,,,,,,,,,,,,
207,Breakdown piles; 900mm dia x max 5750mm high; reinforcement de-bonded,,,nr,200.61,,30.60,170.01,,73.33,,,,10.76,6.40,6.40,,,,,,,,73.12,,,,,,,,,,,,,,,,,,,,,,,
208,Breakdown piles; 900mm dia x max 6000mm high; reinforcement de-bonded,,,nr,204.37,,31.17,173.19,,73.33,,,,10.76,6.40,6.40,,,,,,,,76.30,,,,,,,,,,,,,,,,,,,,,,,
209,Breakdown piles; 900mm dia x max 9500mm high; reinforcement de-bonded,,,nr,256.89,,39.19,217.70,,73.33,,,,10.76,6.40,6.40,,,,,,,,120.81,,,,,,,,,,,,,,,,,,,,,,,
210,Breakdown piles; 1050mm dia x max 500mm high; reinforcement de-bonded,,,nr,142.14,,21.68,120.45,,85.56,,,,13.44,6.40,6.40,,,,,,,,8.65,,,,,,,,,,,,,,,,,,,,,,,
211,Breakdown piles; 1050mm dia x max 4500mm high; reinforcement de-bonded,,,nr,223.84,,34.14,189.69,,85.56,,,,13.44,6.40,6.40,,,,,,,,77.89,,,,,,,,,,,,,,,,,,,,,,,
212,Breakdown piles; 1050mm dia x max 6000mm high; reinforcement de-bonded,,,nr,262.64,,40.06,222.58,,85.56,,,,13.44,6.40,6.40,,,,,,,,110.78,,,,,,,,,,,,,,,,,,,,,,,
213,Breakdown piles; 1200mm dia x max 500mm high; reinforcement de-bonded,,,nr,162.86,,24.84,138.02,,97.78,,,,16.13,6.40,6.40,,,,,,,,11.30,,,,,,,,,,,,,,,,,,,,,,,
214,Breakdown piles; 1500mm dia x max 500mm high; reinforcement de-bonded,,,nr,202.38,,30.87,171.51,,122.22,,,,18.82,6.40,6.40,,,,,,,,17.66,,,,,,,,,,,,,,,,,,,,,,,
215,Breakdown piles; 2000mm dia x max 500mm high; reinforcement de-bonded,,,nr,250.61,,38.23,212.38,,146.67,,,,21.51,6.40,6.40,,,,,,,,31.40,,,,,,,,,,,,,,,,,,,,,,,
216,Burn off top of sheet piles,,,m,24.78,,3.78,21.00,,,,,21.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,B/O & dispose RC guide wall for 450dia secant piles; 750 x 600,,,m,58.03,,8.85,49.18,,8.91,,,,9.80,7.29,7.29,,,,,,,,15.88,,,,,,,,,,,,,,,,,,,,,,,
218,B/O & dispose RC guide wall for 600dia secant piles; 900 x 600,,,m,69.64,,10.62,59.02,,10.69,,,,11.76,8.75,8.75,,,,,,,,19.06,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Civil Engineering (Large Quantities),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,Excavate to reduce levels; 0.5-1m,,,m3,1.54,,0.24,1.31,,0.15,,,,0.46,0.35,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,Excavate to reduce levels; 2-5m,,,m3,1.41,,0.22,1.20,,0.14,,,,0.42,0.32,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,Excavate tarmac & concrete road; 0.25-0.50m (40 surface/60 binder/150 C7.5 base),,,m3,12.09,,1.84,10.24,,2.44,,,,2.69,2.56,2.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,Exc ancilliaries; trimming surfaces,,,m2,0.12,,0.02,0.10,,0.03,,,,0.03,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,Exc ancilliaries; trimming surfaces; sloping,,,m2,1.15,,0.18,0.98,,0.31,,,,0.34,0.17,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,Exc ancilliaries; prepare surfaces,,,m2,0.11,,0.02,0.09,,,,,,0.03,0.03,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,Exc ancilliaries; prepare surfaces; sloping,,,m2,1.08,,0.16,0.92,,,,,,0.30,0.31,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,Exc ancilliaries; disposal in stockpiles on-site; ne 1km ,,,m3,4.97,,0.76,4.21,,,,,,1.21,1.50,1.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,Exc ancilliaries; load & haul; ne 1km,,,m3,6.51,,0.99,5.52,,0.15,,,,1.67,1.85,1.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
