Oliver Connell & Son Limited,,, -   ,,,rev O,OH&P,NETT ALLOWANCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Client,,, -   ,,,20 May 22,,TOTAL,LABOUR,,,,,,PLANT,,,,,MATERIALS,,,,S/C,,Prelims,,TOTAL,LABOUR,,,,,,PLANT,,,,,MATERIALS,,,,S/C,,PRELIMS,
Site,,, -   ,,,ref xxxx,,,Conc lab,Gdwkr,Carp,S/fixer,Other,Plant Op,Plant,Fuel,Fwk,Ply/Tim,Temp mat,Concrete,Rebar,Fill,Other,C/A,Other,Supervision,Other,,Conc lab,Gdwkr,Carp,S/fixer,Other,Plant Op,Plant,Fuel,Fwk,Ply/Tim,Temp mat,Concrete,Rebar,Fill,Other,C/A,Other,Staff,Other
,,, Quant ,Unit,Rate,Total,18.0%,,22.61,24.44,26.28,25.97,31.78,26.89,14.44,,,41.50,,,"1,170.00",,,300.00,,,,,,,,,,,,,,,,,,,,,,,
Groundworks,,, -   ,,,,,,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,,,,,,1.0000,1.0000,1.0000,,,,,,man weeks,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,
,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schedule of Works,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Preambles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Saw cut concrete; ne 500mm,,,m,44.84,,6.84,38.00,,,,,38.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Remove any existing redundant drains and services; prov 1.5m dp,,,m ,108.48,,16.55,91.94,,5.47,,,,6.01,6.23,6.23,,,,,,32.00,,36.00,,,,,,,,,,,,,,,,,,,,,,,
26,Breakout and remove extg manhole; prov 1.5m dp,,,nr,338.64,,51.66,286.98,,46.02,,,,50.63,31.66,31.66,,,,,,34.31,,92.70,,,,,,,,,,,,,,,,,,,,,,,
27,Divert any live drains or services that encrouch on position of new building and working space around.,,,item,by others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Demolish existing sub station,,,nr,"5,906.56",,901.00,"5,005.56",,611.11,,,,672.22,361.11,361.11,,,,,,,,"3,000.00",,,,,,,,,,,,,,,,,,,,,,,
29,Electric diversion,,,nr,"2,360.00",,360.00,"2,000.00",,,,,,,,,,,,,,,,,"2,000.00",,,,,,,,,,,,,,,,,,,,,,
30,Cat scan site,,,nr,"1,180.00",,180.00,"1,000.00",,,,,,,,,,,,,,,,,"1,000.00",,,,,,,,,,,,,,,,,,,,,,
31,Remove existing handrails; 1.2m high galv/painted steel,,,m,98.86,,15.08,83.78,,24.44,,,,26.89,14.44,,,,,,,,,18.00,,,,,,,,,,,,,,,,,,,,,,,
32,Remove existing handrails; 1.0m high galv/painted steel,,,m,95.32,,14.54,80.78,,24.44,,,,26.89,14.44,,,,,,,,,15.00,,,,,,,,,,,,,,,,,,,,,,,
33,Remove existing metal fencing; ne 1.0m high,,,m,73.61,,11.23,62.38,,17.11,,,,18.82,14.44,,,,,,,,,12.00,,,,,,,,,,,,,,,,,,,,,,,
34,Remove lamposts,,,m2,137.90,,21.04,116.86,,24.44,,,,26.89,28.00,28.00,,,,,,,,9.53,,,,,,,,,,,,,,,,,,,,,,,
35,Remove wooden fencing; 1.80m high,,,m,67.55,,10.30,57.24,,14.67,,,,16.13,14.44,,,,,,,,,12.00,,,,,,,,,,,,,,,,,,,,,,,
36,Bollard,,,nr,33.91,,5.17,28.73,,7.33,,,,8.07,4.33,,,,,,,,,9.00,,,,,,,,,,,,,,,,,,,,,,,
37,CCTV columns,,,nr,137.90,,21.04,116.86,,24.44,,,,26.89,28.00,28.00,,,,,,,,9.53,,,,,,,,,,,,,,,,,,,,,,,
38,Car park barrier and payment machine,,,nr,310.83,,47.41,263.41,,73.33,,,,80.67,42.00,42.00,,,,,,,,25.41,,,,,,,,,,,,,,,,,,,,,,,
39,Load and cart fly tipped materials left on site,,,m3,73.23,,11.17,62.06,,1.75,,,,1.92,0.96,0.96,,,,,,,,56.47,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Enabling Works,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Heras fencing as tree protection (per tree),,,nr,44.02,,6.71,37.30,,24.44,,,,,12.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Site clearance,,,m2,0.97,,0.15,0.82,,0.03,,,,0.03,0.02,0.08,,,,,,,,0.67,,,,,,,,,,,,,,,,,,,,,,,
42,Excavate to reduce levels,,,m3,3.94,,0.60,3.34,,1.02,,,,1.12,0.60,0.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Excavate to reduce levels,,,m3,3.94,,0.60,3.34,,1.02,,,,1.12,0.60,0.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Inert disposal rate fluctuating based on prime cost of:,,,load,£300.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Dispose of excavation arisings off site; clean inert material,,,m3,41.65,,6.35,35.29,,,,,,,,,,,,,,,,35.29,,,,,,,,,,,,,,,,,,,,,,,
45,Dispose of excavation arisings off site; clean inert material,,,m3,41.65,,6.35,35.29,,,,,,,,,,,,,,,,35.29,,,,,,,,,,,,,,,,,,,,,,,
46,Level & compact bottom of excavation,,,m2,0.53,,0.08,0.45,,0.14,,,,0.15,0.08,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Level & compact bottom of excavation,,,m2,0.34,,0.05,0.29,,0.14,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Terram,,,m2,1.47,,0.22,1.24,,0.86,,,,,,,,,,,,,0.39,,,,,,,,,,,,,,,,,,,,,,,,
49,Imported fill; hardcore / crushed concrete in piling mat,,,m3,27.78,,4.24,23.54,,1.44,,,,1.58,0.85,0.85,,,,,,18.82,,,,,,,,,,,,,,,,,,,,,,,,,
50,Imported fill; hardcore / crushed concrete in piling mat,,,m3,28.55,,4.36,24.20,,1.44,,,,1.58,,,,,,,,21.18,,,,,,,,,,,,,,,,,,,,,,,,,
51,Piling mat; imported hardcore; 600mm thk,,,m2,16.67,,2.54,14.13,,0.86,,,,0.95,0.51,0.51,,,,,,11.29,,,,,,,,,,,,,,,,,,,,,,,,,
52,Haul roads; imported Type 1; 300mm thk,,,m3,47.63,,7.27,40.36,,,,,,2.44,1.31,1.31,,,,,,35.29,,,,,,,,,,,,,,,,,,,,,,,,,
53,Hardstandings; imported Type 2; 250mm thick,,,m3,44.85,,6.84,38.01,,,,,,2.44,1.31,1.31,,,,,,32.94,,,,,,,,,,,,,,,,,,,,,,,,,
54,Level & compact fill,,,m2,0.53,,0.08,0.45,,0.14,,,,0.15,0.08,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Level & compact fill,,,m2,0.53,,0.08,0.45,,0.14,,,,0.15,0.08,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Install protective matting ,,,m2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Erect hoardings,,,m,95.50,,14.57,80.93,,6.79,13.14,,,3.73,1.94,0.29,,46.08,,5.00,,,1.50,2.45,,,,,,,,,,,,,,,,,,,,,,,
58,Double gate; vehicle access,,,nr,"1,422.59",,217.01,"1,205.59",,73.33,26.28,,,53.78,28.00,4.20,,,,20.00,,,"1,000.00",,,,,,,,,,,,,,,,,,,,,,,,
59,EO for Pedestrian gate,,,nr,381.04,,58.13,322.92,,9.78,13.14,,,,,,,,,,,,300.00,,,,,,,,,,,,,,,,,,,,,,,,
60,Temporary gates during piling; Double gate; vehicle access,,,nr,"1,422.59",,217.01,"1,205.59",,73.33,26.28,,,53.78,28.00,4.20,,,,20.00,,,"1,000.00",,,,,,,,,,,,,,,,,,,,,,,,
61,Heras Fencing (tree protection),,,m,25.38,,3.87,21.51,,10.51,,,,,,,,,,,,,11.00,,,,,,,,,,,,,,,,,,,,,,,,
62,Isolate & remove live services,,,item,"2,031.96",,309.96,"1,722.00",,220.00,,,,242.00,130.00,130.00,,,,,,,,,"1,000.00",,,,,,,,,,,,,,,,,,,,,,
63,"Survey for services, etc",,,item,"2,360.00",,360.00,"2,000.00",,,,,,,,,,,,,,,,,"2,000.00",,,,,,,,,,,,,,,,,,,,,,
64,Trial pit to locate services,,,nr,78.93,,12.04,66.89,,50.33,,,,1.58,7.49,7.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Piling & Piling Attendance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Level & compact ground,,,m2,0.53,,0.08,0.45,,0.14,,,,0.15,0.08,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,CBR test to establish piling mat capacity,,,nr,383.50,,58.50,325.00,,,,,,,,,,,,,,,,,325.00,,,,,,,,,,,,,,,,,,,,,,
67,"Excavate to reduce levels, for piling mat; ne 1m dp",,,m3,3.80,,0.58,3.22,,1.02,,,,1.12,0.60,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Level & compact bottom of excavation,,,m2,0.50,,0.08,0.43,,0.14,,,,0.15,0.08,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Excavate to remove piling mat,,,m3,3.80,,0.58,3.22,,1.02,,,,1.12,0.60,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Scrape off top of piling mat & dispose off site; ne 100mm thk,,,m2,4.95,,0.76,4.20,,0.14,,,,0.15,0.08,0.08,,,,,,,,3.75,,,,,,,,,,,,,,,,,,,,,,,
71,Excavate to remove piling mat & dispose off site; 300mm thk,,,m2,14.42,,2.20,12.22,,0.31,,,,0.34,0.18,0.14,,,,,,,,11.25,,,,,,,,,,,,,,,,,,,,,,,
72,Excavate to remove piling mat & dispose off site; 400mm thk,,,m2,19.22,,2.93,16.29,,0.41,,,,0.45,0.24,0.19,,,,,,,,15.00,,,,,,,,,,,,,,,,,,,,,,,
73,Excavate to remove piling mat & dispose off site; 500mm thk,,,m2,24.03,,3.67,20.36,,0.51,,,,0.56,0.30,0.24,,,,,,,,18.75,,,,,,,,,,,,,,,,,,,,,,,
74,Excavate to remove piling mat & dispose off site; 600mm thk,,,m2,28.83,,4.40,24.43,,0.61,,,,0.67,0.36,0.29,,,,,,,,22.50,,,,,,,,,,,,,,,,,,,,,,,
75,Excavate to remove piling mat & dispose off site; 750mm thk,,,m2,36.04,,5.50,30.54,,0.76,,,,0.84,0.45,0.36,,,,,,,,28.13,,,,,,,,,,,,,,,,,,,,,,,
76,Excavate to remove piling mat & dispose off site,,,m3,48.05,,7.33,40.72,,1.02,,,,1.12,0.60,0.48,,,,,,,,37.50,,,,,,,,,,,,,,,,,,,,,,,
77,Inert disposal rate fluctuating based on prime cost of:,,,load,£300.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
